GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420031614416144,420031614416144,Allegheny County - COUNTY SUBDIVISION AND PLACE - Coraopolis borough - Coraopolis borough,Coraopolis borough,5677,3101,1.46,0.13,1.33,4273.3,2334.3
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200316848,4200316848,Allegheny County - COUNTY SUBDIVISION AND PLACE - Crafton borough,Crafton borough,5951,3110,1.14,0.00,1.14,5206.9,2721.1
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420031684816848,420031684816848,Allegheny County - COUNTY SUBDIVISION AND PLACE - Crafton borough - Crafton borough,Crafton borough,5951,3110,1.14,0.00,1.14,5206.9,2721.1
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200317048,4200317048,Allegheny County - COUNTY SUBDIVISION AND PLACE - Crescent township,Crescent township,2640,1131,2.31,0.21,2.10,1258.7,539.2
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420031704899999,420031704899999,Allegheny County - COUNTY SUBDIVISION AND PLACE - Crescent township - Crescent township,Crescent township,2640,1131,2.31,0.21,2.10,1258.7,539.2
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200319576,4200319576,Allegheny County - COUNTY SUBDIVISION AND PLACE - Dormont borough,Dormont borough,8593,4308,0.76,0.00,0.76,11301.6,5665.9
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420031957619576,420031957619576,Allegheny County - COUNTY SUBDIVISION AND PLACE - Dormont borough - Dormont borough,Dormont borough,8593,4308,0.76,0.00,0.76,11301.6,5665.9
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200319856,4200319856,Allegheny County - COUNTY SUBDIVISION AND PLACE - Dravosburg borough,Dravosburg borough,1792,1000,1.06,0.09,0.97,1850.9,1032.9
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420031985619856,420031985619856,Allegheny County - COUNTY SUBDIVISION AND PLACE - Dravosburg borough - Dravosburg borough,Dravosburg borough,1792,1000,1.06,0.09,0.97,1850.9,1032.9
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200320432,4200320432,Allegheny County - COUNTY SUBDIVISION AND PLACE - Duquesne city,Duquesne city,5565,3163,2.04,0.22,1.82,3061.0,1739.8
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032043220432,420032043220432,Allegheny County - COUNTY SUBDIVISION AND PLACE - Duquesne city - Duquesne city,Duquesne city,5565,3163,2.04,0.22,1.82,3061.0,1739.8
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200321024,4200321024,Allegheny County - COUNTY SUBDIVISION AND PLACE - East Deer township,East Deer township,1500,815,2.53,0.25,2.27,659.9,358.5
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032102499999,420032102499999,Allegheny County - COUNTY SUBDIVISION AND PLACE - East Deer township - East Deer township,East Deer township,1500,815,2.53,0.25,2.27,659.9,358.5
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200321444,4200321444,Allegheny County - COUNTY SUBDIVISION AND PLACE - East McKeesport borough,East McKeesport borough,2126,1152,0.41,0.00,0.41,5147.9,2789.5
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032144421444,420032144421444,Allegheny County - COUNTY SUBDIVISION AND PLACE - East McKeesport borough - East McKeesport borough,East McKeesport borough,2126,1152,0.41,0.00,0.41,5147.9,2789.5
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200321712,4200321712,Allegheny County - COUNTY SUBDIVISION AND PLACE - East Pittsburgh borough,East Pittsburgh borough,1822,1035,0.39,0.00,0.39,4699.1,2669.3
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032171221712,420032171221712,Allegheny County - COUNTY SUBDIVISION AND PLACE - East Pittsburgh borough - East Pittsburgh borough,East Pittsburgh borough,1822,1035,0.39,0.00,0.39,4699.1,2669.3
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200322520,4200322520,Allegheny County - COUNTY SUBDIVISION AND PLACE - Edgewood borough,Edgewood borough,3118,1669,0.59,0.00,0.59,5307.6,2841.0
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032252022520,420032252022520,Allegheny County - COUNTY SUBDIVISION AND PLACE - Edgewood borough - Edgewood borough,Edgewood borough,3118,1669,0.59,0.00,0.59,5307.6,2841.0
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200322576,4200322576,Allegheny County - COUNTY SUBDIVISION AND PLACE - Edgeworth borough,Edgeworth borough,1680,655,1.68,0.18,1.50,1122.7,437.7
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032257622576,420032257622576,Allegheny County - COUNTY SUBDIVISION AND PLACE - Edgeworth borough - Edgeworth borough,Edgeworth borough,1680,655,1.68,0.18,1.50,1122.7,437.7
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200322992,4200322992,Allegheny County - COUNTY SUBDIVISION AND PLACE - Elizabeth borough,Elizabeth borough,1493,715,0.41,0.07,0.34,4359.3,2087.7
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032299222992,420032299222992,Allegheny County - COUNTY SUBDIVISION AND PLACE - Elizabeth borough - Elizabeth borough,Elizabeth borough,1493,715,0.41,0.07,0.34,4359.3,2087.7
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200323000,4200323000,Allegheny County - COUNTY SUBDIVISION AND PLACE - Elizabeth township,Elizabeth township,13271,5948,23.27,0.43,22.83,581.2,260.5
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032300007688,420032300007688,Allegheny County - COUNTY SUBDIVISION AND PLACE - Elizabeth township - Boston CDP,Boston CDP,545,263,0.36,0.04,0.33,1671.1,806.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032300031120,420032300031120,Allegheny County - COUNTY SUBDIVISION AND PLACE - Elizabeth township - Greenock CDP,Greenock CDP,2195,1017,1.17,0.10,1.07,2059.7,954.3
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032300099999,420032300099999,Allegheny County - COUNTY SUBDIVISION AND PLACE - Elizabeth township - Remainder of Elizabeth township,Remainder of Elizabeth township,10531,4668,21.73,0.29,21.44,491.1,217.7
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200323616,4200323616,Allegheny County - COUNTY SUBDIVISION AND PLACE - Emsworth borough,Emsworth borough,2449,1201,0.69,0.12,0.57,4306.8,2112.1
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032361623616,420032361623616,Allegheny County - COUNTY SUBDIVISION AND PLACE - Emsworth borough - Emsworth borough,Emsworth borough,2449,1201,0.69,0.12,0.57,4306.8,2112.1
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200324160,4200324160,Allegheny County - COUNTY SUBDIVISION AND PLACE - Etna borough,Etna borough,3451,1812,0.79,0.06,0.73,4723.4,2480.1
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032416024160,420032416024160,Allegheny County - COUNTY SUBDIVISION AND PLACE - Etna borough - Etna borough,Etna borough,3451,1812,0.79,0.06,0.73,4723.4,2480.1
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200325400,4200325400,Allegheny County - COUNTY SUBDIVISION AND PLACE - Fawn township,Fawn township,2376,1041,12.95,0.00,12.95,183.5,80.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032540099999,420032540099999,Allegheny County - COUNTY SUBDIVISION AND PLACE - Fawn township - Fawn township,Fawn township,2376,1041,12.95,0.00,12.95,183.5,80.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200325904,4200325904,Allegheny County - COUNTY SUBDIVISION AND PLACE - Findlay township,Findlay township,5060,2259,32.29,0.01,32.29,156.7,70.0
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032590414296,420032590414296,Allegheny County - COUNTY SUBDIVISION AND PLACE - Findlay township - Clinton CDP,Clinton CDP,434,225,0.83,0.01,0.82,526.4,272.9
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032590423720,420032590423720,Allegheny County - COUNTY SUBDIVISION AND PLACE - Findlay township - Enlow CDP (part),Enlow CDP (part),115,48,0.25,0.00,0.25,466.6,194.7
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032590436768,420032590436768,Allegheny County - COUNTY SUBDIVISION AND PLACE - Findlay township - Imperial CDP (part),Imperial CDP (part),1995,884,2.11,0.00,2.11,944.1,418.3
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032590499999,420032590499999,Allegheny County - COUNTY SUBDIVISION AND PLACE - Findlay township - Remainder of Findlay township,Remainder of Findlay township,2516,1102,29.10,0.00,29.10,86.5,37.9
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200326592,4200326592,Allegheny County - COUNTY SUBDIVISION AND PLACE - Forest Hills borough,Forest Hills borough,6518,3304,1.56,0.00,1.56,4168.1,2112.8
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032659226592,420032659226592,Allegheny County - COUNTY SUBDIVISION AND PLACE - Forest Hills borough - Forest Hills borough,Forest Hills borough,6518,3304,1.56,0.00,1.56,4168.1,2112.8
